status,method,next_path,openapi_path,file
present,GET,/api/admin/hubs,/api/admin/hubs,D:\voltium\web\src\app\api\admin\hubs\route.ts
present,POST,/api/admin/hubs,/api/admin/hubs,D:\voltium\web\src\app\api\admin\hubs\route.ts
present,PUT,/api/admin/hubs,/api/admin/hubs,D:\voltium\web\src\app\api\admin\hubs\route.ts
present,DELETE,/api/admin/hubs,/api/admin/hubs,D:\voltium\web\src\app\api\admin\hubs\route.ts
present,GET,/api/admin/incidents,/api/admin/incidents,D:\voltium\web\src\app\api\admin\incidents\route.ts
present,POST,/api/admin/incidents,/api/admin/incidents,D:\voltium\web\src\app\api\admin\incidents\route.ts
present,PUT,/api/admin/incidents,/api/admin/incidents,D:\voltium\web\src\app\api\admin\incidents\route.ts
present,GET,/api/admin/incidents/[id],/api/admin/incidents/{id},D:\voltium\web\src\app\api\admin\incidents\[id]\route.ts
present,PUT,/api/admin/incidents/[id],/api/admin/incidents/{id},D:\voltium\web\src\app\api\admin\incidents\[id]\route.ts
present,GET,/api/admin/jobs,/api/admin/jobs,D:\voltium\web\src\app\api\admin\jobs\route.ts
present,POST,/api/admin/jobs,/api/admin/jobs,D:\voltium\web\src\app\api\admin\jobs\route.ts
present,GET,/api/admin/kyc,/api/admin/kyc,D:\voltium\web\src\app\api\admin\kyc\route.ts
present,POST,/api/admin/kyc,/api/admin/kyc,D:\voltium\web\src\app\api\admin\kyc\route.ts
present,GET,/api/admin/legal,/api/admin/legal,D:\voltium\web\src\app\api\admin\legal\route.ts
present,PUT,/api/admin/legal,/api/admin/legal,D:\voltium\web\src\app\api\admin\legal\route.ts
present,GET,/api/admin/maintenance-mode,/api/admin/maintenance-mode,D:\voltium\web\src\app\api\admin\maintenance-mode\route.ts
present,PUT,/api/admin/maintenance-mode,/api/admin/maintenance-mode,D:\voltium\web\src\app\api\admin\maintenance-mode\route.ts
present,PATCH,/api/admin/maintenance-mode,/api/admin/maintenance-mode,D:\voltium\web\src\app\api\admin\maintenance-mode\route.ts
present,GET,/api/admin/notifications,/api/admin/notifications,D:\voltium\web\src\app\api\admin\notifications\route.ts
present,POST,/api/admin/notifications,/api/admin/notifications,D:\voltium\web\src\app\api\admin\notifications\route.ts
present,GET,/api/admin/offers,/api/admin/offers,D:\voltium\web\src\app\api\admin\offers\route.ts
present,POST,/api/admin/offers,/api/admin/offers,D:\voltium\web\src\app\api\admin\offers\route.ts
present,PUT,/api/admin/offers,/api/admin/offers,D:\voltium\web\src\app\api\admin\offers\route.ts
present,DELETE,/api/admin/offers,/api/admin/offers,D:\voltium\web\src\app\api\admin\offers\route.ts
present,GET,/api/admin/operations/overview,/api/admin/operations/overview,D:\voltium\web\src\app\api\admin\operations\overview\route.ts
present,GET,/api/admin/payment-gateways,/api/admin/payment-gateways,D:\voltium\web\src\app\api\admin\payment-gateways\route.ts
present,POST,/api/admin/payment-gateways,/api/admin/payment-gateways,D:\voltium\web\src\app\api\admin\payment-gateways\route.ts
present,DELETE,/api/admin/payment-gateways/[id],/api/admin/payment-gateways/{id},D:\voltium\web\src\app\api\admin\payment-gateways\[id]\route.ts
